Time_Seconds,FullBody:Hip_X,FullBody:Hip_Y,FullBody:Hip_Z,FullBody:Ab_X,FullBody:Ab_Y,FullBody:Ab_Z,FullBody:Chest_X,FullBody:Chest_Y,FullBody:Chest_Z,FullBody:Neck_X,FullBody:Neck_Y,FullBody:Neck_Z,FullBody:Head_X,FullBody:Head_Y,FullBody:Head_Z,FullBody:LShoulder_X,FullBody:LShoulder_Y,FullBody:LShoulder_Z,FullBody:LUArm_X,FullBody:LUArm_Y,FullBody:LUArm_Z,FullBody:LFArm_X,FullBody:LFArm_Y,FullBody:LFArm_Z,FullBody:LHand_X,FullBody:LHand_Y,FullBody:LHand_Z,FullBody:RShoulder_X,FullBody:RShoulder_Y,FullBody:RShoulder_Z,FullBody:RUArm_X,FullBody:RUArm_Y,FullBody:RUArm_Z,FullBody:RFArm_X,FullBody:RFArm_Y,FullBody:RFArm_Z,FullBody:RHand_X,FullBody:RHand_Y,FullBody:RHand_Z,FullBody:LThigh_X,FullBody:LThigh_Y,FullBody:LThigh_Z,FullBody:LShin_X,FullBody:LShin_Y,FullBody:LShin_Z,FullBody:LFoot_X,FullBody:LFoot_Y,FullBody:LFoot_Z,FullBody:RThigh_X,FullBody:RThigh_Y,FullBody:RThigh_Z,FullBody:RShin_X,FullBody:RShin_Y,FullBody:RShin_Z,FullBody:RFoot_X,FullBody:RFoot_Y,FullBody:RFoot_Z
0.166666,0,0,0,-0.00023,0.073782,-0.001695,0.000858,0.265339,0.013541,0.003052,0.489484,0.023748,-0.015629,0.645251,0.011789,0.040135,0.416018,0.025499,0.1457,0.406938,0.037627,0.378741,0.263406,-0.001522,0.538955,0.153774,-0.143411,-0.035501,0.416773,0.02519,-0.14165,0.411493,0.034028,-0.371387,0.265786,-0.015296,-0.544173,0.145034,-0.130986,0.094549,0.000188,-0.004653,0.16174,-0.464754,0.075539,0.207721,-0.786246,0.191809,-0.09455,-0.000187,0.004654,-0.172063,-0.469409,0.035288,-0.227968,-0.782087,0.169813
0.183333,0,0,0,-0.000232,0.073867,-0.001508,0.00073,0.265533,0.013397,0.002417,0.48964,0.024489,-0.016007,0.645445,0.012624,0.039657,0.416249,0.026012,0.145341,0.408443,0.037996,0.384512,0.275818,-0.002645,0.551423,0.175754,-0.143888,-0.03598,0.41684,0.025583,-0.142206,0.41202,0.033718,-0.377381,0.27673,-0.019515,-0.55685,0.16543,-0.134514,0.094551,0.000203,-0.00463,0.161729,-0.464776,0.075359,0.207727,-0.786254,0.191659,-0.09455,-0.000204,0.004629,-0.172035,-0.469429,0.035282,-0.227897,-0.782149,0.169727
0.2,0,0,0,-0.000232,0.073981,-0.001327,0.000655,0.26578,0.013297,0.001837,0.489847,0.025237,-0.016378,0.64569,0.01355,0.039232,0.416531,0.026562,0.145018,0.410064,0.038441,0.389658,0.288252,-0.003458,0.562566,0.197845,-0.143992,-0.036405,0.416961,0.025976,-0.142708,0.412555,0.033305,-0.382989,0.287991,-0.023191,-0.568083,0.185841,-0.137758,0.094551,0.000213,-0.004612,0.161699,-0.464803,0.075184,0.207699,-0.78627,0.191516,-0.094552,-0.000213,0.004612,-0.172045,-0.469432,0.035341,-0.227879,-0.782194,0.1697
0.216666,0,0,0,-0.000207,0.073964,-0.001132,0.000756,0.265766,0.013156,0.001351,0.489799,0.025742,-0.016671,0.645678,0.014226,0.038934,0.416577,0.026877,0.144833,0.411734,0.038523,0.394239,0.300187,-0.003859,0.571453,0.218732,-0.144503,-0.036703,0.416813,0.026248,-0.143066,0.412903,0.032974,-0.387764,0.298618,-0.026224,-0.577704,0.205363,-0.140446,0.094551,0.000195,-0.004619,0.161646,-0.464836,0.075137,0.207648,-0.786312,0.191443,-0.094551,-0.000195,0.004619,-0.172093,-0.46939,0.035589,-0.227933,-0.782213,0.169802
0.233333,0,0,0,7.20E-05,0.07378,-0.001011,0.002119,0.265472,0.0121,0.004138,0.489462,0.0253,-0.015397,0.645221,0.014677,0.041257,0.416,0.02622,0.14734,0.411425,0.03618,0.400142,0.309933,-0.011089,0.584664,0.237976,-0.147454,-0.034377,0.416717,0.025621,-0.140808,0.41332,0.031503,-0.390004,0.310525,-0.029966,-0.585092,0.227054,-0.14308,0.094557,-0.000153,-0.004501,0.161599,-0.465209,0.075149,0.207546,-0.786652,0.191567,-0.094556,0.000154,0.004501,-0.17217,-0.469005,0.035842,-0.228098,-0.78187,0.169922
0.25,0,0,0,0.000139,0.073957,-0.000735,0.002168,0.265836,0.012198,0.004356,0.489801,0.025783,-0.01538,0.645566,0.01563,0.041412,0.416306,0.02663,0.14758,0.412413,0.035953,0.403688,0.320152,-0.012419,0.591897,0.251577,-0.145445,-0.03422,0.417088,0.025926,-0.140699,0.414506,0.031323,-0.393465,0.322568,-0.032708,-0.592496,0.249914,-0.146409,0.094563,-0.00022,-0.004369,0.161667,-0.465267,0.075285,0.207604,-0.786685,0.191775,-0.094562,0.00022,0.004369,-0.172078,-0.468916,0.036295,-0.228072,-0.781862,0.170158
0.266666,0,0,0,0.000255,0.07532,-0.000555,0.002845,0.268521,0.012896,0.00632,0.491671,0.028428,-0.014244,0.646629,0.017854,0.042961,0.418627,0.028664,0.14915,0.415052,0.037856,0.407479,0.329298,-0.010683,0.598871,0.26383,-0.140699,-0.032667,0.419853,0.027973,-0.139148,0.418661,0.033786,-0.394337,0.335385,-0.03245,-0.595269,0.274773,-0.149802,0.094566,-0.000352,-0.004293,0.161548,-0.465369,0.075635,0.207324,-0.786807,0.192133,-0.094566,0.000352,0.004292,-0.17207,-0.468744,0.036821,-0.228345,-0.781736,0.170457
0.283333,0,0,0,0.000221,0.076375,-0.000235,0.001952,0.270692,0.012476,0.004788,0.492458,0.029799,-0.015167,0.646234,0.019229,0.041616,0.420754,0.029741,0.147751,0.417899,0.039786,0.408916,0.340219,-0.007142,0.606088,0.283695,-0.132641,-0.034008,0.42181,0.028607,-0.14054,0.421792,0.033567,-0.397073,0.351083,-0.0415,-0.598376,0.311566,-0.166946,0.094579,-0.000287,-0.003986,0.161769,-0.465199,0.076379,0.207637,-0.786681,0.19272,-0.09458,0.000287,0.003985,-0.171735,-0.468789,0.037616,-0.227957,-0.78184,0.171136
0.3,0,0,0,0.000294,0.076966,1.70E-05,0.002132,0.271883,0.012571,0.004616,0.492872,0.030723,-0.015263,0.645946,0.020201,0.041545,0.421925,0.030561,0.147683,0.420262,0.040835,0.411147,0.351016,-0.006437,0.611973,0.30466,-0.130296,-0.034077,0.422889,0.029182,-0.140644,0.423385,0.033271,-0.399371,0.361861,-0.042348,-0.601758,0.331177,-0.168518,0.094586,-0.00036,-0.003817,0.16172,-0.465214,0.076928,0.207509,-0.786758,0.193129,-0.094586,0.000361,0.003816,-0.171594,-0.468695,0.038059,-0.227837,-0.781648,0.171801
0.316666,0,0,0,0.000345,0.07764,0.000284,0.002251,0.273244,0.012662,0.004565,0.493357,0.031528,-0.015191,0.645632,0.021029,0.041542,0.423244,0.031263,0.147688,0.422494,0.041564,0.412977,0.360866,-0.006049,0.616448,0.323233,-0.128539,-0.034077,0.424171,0.029728,-0.14066,0.425212,0.033262,-0.400941,0.371936,-0.043274,-0.604373,0.349564,-0.169509,0.094593,-0.000407,-0.003651,0.16174,-0.465186,0.077513,0.20749,-0.786794,0.193552,-0.094592,0.000407,0.00365,-0.17144,-0.468631,0.038492,-0.227802,-0.781716,0.171875
