joint,mpjpe
left_shoulder,31.94867485198226
left_elbow,30.821751477734793
left_wrist,27.090959428936156
left_hip,2.1634494140566902
left_knee,12.33092375648772
left_ankle,25.661677180535346
right_shoulder,31.282285002958243
right_elbow,25.162780488991622
right_wrist,22.423999878677307
right_hip,2.1827722562690823
right_knee,18.71463872836008
right_ankle,30.44211606991361
