time_ms,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z
20,-0.011122012,0.562415659,-0.444308609,0.18272084,0.444050103,-0.24031657,0.230639651,0.210731521,-0.219544798,0.199903458,-0.024960613,-0.317128599,0.116268292,-0.000333408,-0.005000459,0.128287345,-0.372083634,0.124367192,0.191298082,-0.642787039,0.365725189,-0.171803966,0.447922021,-0.237928331,-0.230981514,0.196420744,-0.182738379,-0.205079019,-0.050426755,-0.269867748,-0.116575874,0.000917093,0.005914188,-0.126379594,-0.363480896,0.194697201,-0.137467861,-0.666533053,0.451335311
20.01666667,-0.011564575,0.562159121,-0.444314718,0.182729349,0.444173574,-0.239917427,0.22901544,0.210533082,-0.218909428,0.199685305,-0.025615793,-0.316670656,0.116267182,-0.000351127,-0.004958701,0.128416315,-0.372106701,0.126943111,0.192834631,-0.642911613,0.366703153,-0.171879858,0.448849559,-0.236956686,-0.230280846,0.197323352,-0.179702148,-0.20678848,-0.048771068,-0.267409354,-0.116581194,0.000938809,0.005871026,-0.126341715,-0.363445222,0.195966676,-0.137449816,-0.666992843,0.453261197
20.03333333,-0.01120179,0.562260687,-0.443939775,0.182756096,0.444381356,-0.238588244,0.228414029,0.210532531,-0.216610938,0.199638471,-0.025708923,-0.315075576,0.116268694,-0.0003654,-0.004937676,0.128417924,-0.372144461,0.127090737,0.192763403,-0.643157184,0.367348522,-0.171921432,0.449769557,-0.236315817,-0.230085164,0.198203892,-0.178831071,-0.207771003,-0.04698921,-0.267029941,-0.116588771,0.000956973,0.005849067,-0.126158118,-0.363437861,0.196568102,-0.137399122,-0.667220771,0.454859495
20.05,-0.010947739,0.563692689,-0.442564398,0.182774469,0.445140302,-0.236973688,0.228061035,0.210701078,-0.215275541,0.199560985,-0.025724813,-0.314496607,0.116270624,-0.00037438,-0.004924432,0.128414959,-0.372165948,0.12647678,0.192600429,-0.643277287,0.367338598,-0.172085226,0.450702637,-0.234919965,-0.229880363,0.198944345,-0.177675903,-0.208500504,-0.044936433,-0.26677072,-0.116596177,0.000968758,0.005836553,-0.125790194,-0.363427073,0.196771979,-0.137364149,-0.667462707,0.45571816
20.06666667,-0.009524818,0.565513134,-0.441018313,0.183015928,0.446340799,-0.235345945,0.227568835,0.210871294,-0.214010134,0.19929038,-0.025776559,-0.313986748,0.116279997,-0.000379767,-0.004914856,0.128381893,-0.372196555,0.125969529,0.192739874,-0.64330256,0.367262304,-0.172131911,0.451510072,-0.233560562,-0.229848787,0.199649125,-0.176174685,-0.210062757,-0.043414555,-0.266012549,-0.116610669,0.000976029,0.005827792,-0.125617132,-0.363431782,0.196879894,-0.137130752,-0.667526126,0.456509471
20.08333333,-0.006120024,0.56694752,-0.439765841,0.183560774,0.447285384,-0.233814105,0.22754477,0.211395875,-0.212652341,0.199274555,-0.025636056,-0.313070446,0.11628864,-0.000374799,-0.004901256,0.128147855,-0.372215182,0.125001341,0.192645073,-0.643271923,0.367151588,-0.172114894,0.451695204,-0.233118221,-0.229797453,0.199864075,-0.176282957,-0.210681528,-0.042695567,-0.26602909,-0.11662329,0.000972569,0.005814707,-0.12543121,-0.363400877,0.196474746,-0.136888474,-0.667497277,0.455983341
20.1,-0.00291303,0.56994766,-0.436917216,0.184249267,0.448411554,-0.231608614,0.227570236,0.21248661,-0.211013824,0.199345604,-0.02469798,-0.31221059,0.116305746,-0.000372096,-0.004911994,0.128058031,-0.372213006,0.122830257,0.192614913,-0.643192887,0.365897864,-0.171960592,0.452805787,-0.231100842,-0.22967726,0.201183513,-0.174847022,-0.210971192,-0.040863696,-0.26524362,-0.116645053,0.000971452,0.005827721,-0.124864057,-0.363404065,0.196153179,-0.135906294,-0.667564869,0.455714822
20.11666667,-0.000626036,0.570598602,-0.436633676,0.185099393,0.448635161,-0.231288537,0.227569148,0.212737083,-0.210945085,0.199334562,-0.024383321,-0.312271714,0.116329819,-0.000375311,-0.004893204,0.12797755,-0.372330487,0.122673281,0.192446187,-0.643219113,0.366129458,-0.171776295,0.45305112,-0.231269151,-0.229729146,0.201730549,-0.175240993,-0.211371422,-0.040051602,-0.265343279,-0.116673291,0.000976449,0.005811904,-0.124774255,-0.363379568,0.196000382,-0.135705009,-0.667526066,0.455605626
20.13333333,8.23E-05,0.572253764,-0.436023891,0.18531844,0.448827654,-0.231124952,0.227498516,0.213022098,-0.21099931,0.199327528,-0.024196694,-0.312327415,0.116343036,-0.000371723,-0.004889648,0.127961665,-0.372498959,0.122536331,0.192371845,-0.643395007,0.366103351,-0.171768546,0.453181267,-0.231230617,-0.22996366,0.202249154,-0.175444737,-0.211977571,-0.039630808,-0.265351117,-0.116690122,0.000974163,0.005810221,-0.124749653,-0.363391936,0.195910633,-0.135684729,-0.667575121,0.454413235
20.15,0.000165526,0.572882831,-0.435654163,0.185816795,0.4488796,-0.231232077,0.227572113,0.213162303,-0.211378768,0.199448824,-0.023913255,-0.313301325,0.11634808,-0.000384502,-0.004885788,0.127956331,-0.372591555,0.122574702,0.192483976,-0.643392146,0.366551042,-0.171390563,0.453618288,-0.230888113,-0.230257332,0.20318234,-0.175189555,-0.213149607,-0.039108168,-0.265013039,-0.116697788,0.000988497,0.005808174,-0.124753073,-0.363399893,0.195907027,-0.135678053,-0.66762042,0.454401821
